id,berita,label
1,"— Billionaire Warren Buffett says he doesn’t expect a full-blown trade war to develop between the United States and China because both countries benefit so much from trade.Analysts say a list of hard-line demands that the Trump administration handed China this week could make it even more difficult to resolve a trade conflict between the world’s two largest economies.On a separate issue, Buffett says Wells Fargo is cleaning up its act after the misconduct at the bank in recent years.Berkshire Hathaway owns roughly 10 percent of Wells Fargo’s stock, and Buffett said Saturday that he has no plans to sell it.Buffett says Wells Fargo clearly made a big mistake and had the wrong incentives in place for employees, but now they making strides.",0
2,President Trump said on Wednesday after a meeting with European Commission President Jean-Claude Juncker that they had agreed to work on lowering trade barriers.Westwood One reports the president says that includes steel and aluminum tariffs.President Trump says the United States and the European Union have agreed to work toward “zero tariffs” and “zero subsidies” on non-automobile goods.Trump also says the EU has also agreed to buy “a lot of soybeans” and increase its imports of liquefied natural gas from the U.S. Trump says the EU will become a “massive buyer” of LNG to help diversify their energy supply.The president and the EU’s chief executive made statements at a joint event today following the meeting on trade.,0
3,"The ongoing trade spat between the U.S. and China is the biggest threat to the market right now, not the Federal Reserve’s monetary policy, strategist Art Hogan said Wednesday.",0
4,"The move comes only days after the US imposed $34 billion worth of tariffs on goods imported from Beijing.The administration said the new levies were a response to China's decision to retaliate against the first round of United States tariffs.In announcing the proposed tariffs, USA trade representative Robert Lighthizer said, ""For over a year, the Trump administration has patiently urged China to stop its unfair practices, open its market, and engage in true market competition"".But China has been steadily diversifying its economy, in ways that make it less vulnerable to USA pressure than it once was.""If you are Trump, you basically want to go after China only after you make sure that NAFTA is a go"".",0
5,"The U.S. solar action ""seriously damaged China's trade interests"" and ""also affects the seriousness and authority of WTO rules"", said a Commerce Ministry statement.One Chinese executive, speaking on condition of anonymity, told Reuters that U.S. solar tariffs were a ""sideshow"" and had little effect on Chinese business.Qatar Rescues Turkey With $15 BillionAdministration officials said the USA does not now have any meetings scheduled with Turkish officials to discuss Brunson's case.In order to protect its trade interests, China has deemed necessary to resort to the WTO dispute settlement mechanism.""Solar is only a piece on the big trade chessboard"", said another Chinese solar executive, who also declined to be named.",0
6,"Trade War Fallout: 5 ways the Trump tariffs could impact air cargoIn trade wars, there tend to many casualties and few winners.In March, President Trump pledged to impose 25 percent tariffs on steel imports and 10 percent tariffs on aluminum imports from Canada, Mexico and the European Union.China also hinted that another $16 billion in tariffs could be slapped onto more American goods, such as coal, crude oil, natural gas and medical equipment.start to follow through on these threats, what will it mean for air cargo markets?Here are a few scenarios that Air Cargo World thinks may play out in the coming weeks or months:12- Readers Like This Post",0
7,"""Trade wars are good and easy to win,"" the US president wrote on Twitter in early March, after impulsively announcing an increase in steel and aluminum import tariffs.On Monday alone, China raised tariffs on pork, apples and other US products to balance steel and aluminum tariffs.Similarly, the president has argued that the trade deficit with China is unsustainable (last year it closed at around 375bn), which means that many more products are being bought from China than the United States is exporting.""Exports to China directly or indirectly supported 1.8 million new US jobs in 2015,"" explains the media.However, ""still, experts worry that the United States hasn’t been clear with China about what exactly it wants.",0
8,"""We agreed today, to work together toward zero tariffs, zero non-tariff barriers, and zero subsidies on non-auto industrial goods"", he went on.""We knew this wasn't an academic seminar"", a senior European Union official who was at the meeting told the Wall Street Journal.German Chancellor Angela Merkel's economy minister, Peter Altmaier, tweeted: 'Breakthrough achieved that can avoid trade war and save millions of jobs!European Union Nations will be open to the United States and at the same time benefiting by everything we are doing for them.Besides zero tariffs and non-tariff barriers, Juncker and Trump agreed to reduce barriers and increase trade in services, chemicals, pharmaceuticals, medical products.",0
9,"It is no surprise, therefore, that stocks of carmakers have headed south over concerns of plunging sales were the US to impose 25 per cent tariffs on imported vehicles and auto parts.Top 25 global carmakers by market cap have shed about $150 billion since January.Its shares have fallen 37 per cent in 2018, followed by China’s Great Wall and BYD at 32.9 and 30.1 per cent, respectively.Hence, experts believe that President Trump’s decision-making is tilted toward auto workers even if the measures may roil US automakers.According to Nomura, General Motors and Fiat Chrysler could be hit the hardest: Their operating profits for 2018 could be cut by 40 per cent and 23 per cent, respectively.",0
10,"NEW DELHI: The Trump administration will share a list of its trade issues with India next week, as the two sides seek to iron out their differences over bilateral trade that have arisen from tit-for-tat tariff actions in the last few months.This was agreed at a new round of talks between the two countries in Washington, an official said.“All issues were discussed.They were talking of general things, we wanted specific.The two countries haven’t fixed a target to reduce the trade deficit under the two track approach to decide their trade issues.The two sides also discussed the issue of oil, but not in the context of Iran, the official said.Earlier this week, a delegation from the US met external affairs ministry officials here to discuss US demands for India to zero out its oil imports from Iran.",0
